scenario_id,scenario_class,obs_layout,duration_days,dx_m,domain_m,sigma_ln_k,sigma_ln_s,leakage_b_m,boundary_type,support_effective_radius_m,support_diffusion_radius_m,support_observation_max_radius_m,support_leakage_limit_m,support_boundary_limit_m,support_target_spread,fixed_radius_130m_T_ratio_to_effective,fixed_130m_reference_status
mega_vertical_leakage_00074,vertical leakage,sparse3,10.0,7.5,805.0,0.0,0.0,30.95733759023849,none,100.0,311.7691453623984,200.0,30.95733759023849,395.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00075,vertical leakage,mixed4,1.0,5.0,805.0,0.0,0.0,218.34632158162407,none,100.0,98.5900603509301,200.0,218.34632158162407,397.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00076,vertical leakage,sparse3,10.0,7.5,605.0,0.0,0.0,144.72206221839514,none,144.72206221839514,311.7691453623984,200.0,144.72206221839514,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00077,vertical leakage,sparse3,1.0,7.5,1005.0,0.0,0.0,92.62763554189824,none,100.0,98.5900603509301,200.0,92.62763554189824,495.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00078,vertical leakage,sparse3,10.0,10.0,805.0,0.0,0.0,230.39195504353305,none,230.39195504353305,311.7691453623984,200.0,230.39195504353305,392.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00079,vertical leakage,standard4,2.0,7.5,1205.0,0.0,0.0,170.8449202134616,none,139.4274004634673,139.4274004634673,100.0,170.8449202134616,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00080,vertical leakage,near4,2.0,5.0,1005.0,0.0,0.0,172.36349229912796,none,139.42740046346736,139.42740046346736,50.0,172.36349229912796,497.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00081,vertical leakage,sparse3,1.0,7.5,805.0,0.0,0.0,27.015047684684447,none,100.0,98.59006035093006,200.0,27.015047684684447,395.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00082,vertical leakage,near4,2.0,10.0,1005.0,0.0,0.0,130.00551622179634,none,130.00551622179634,139.4274004634673,50.0,130.00551622179634,492.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00083,vertical leakage,near4,1.0,7.5,405.0,0.0,0.0,111.92771425326406,none,98.59006035093006,98.59006035093006,50.0,111.92771425326406,195.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00084,vertical leakage,sparse3,10.0,5.0,805.0,0.0,0.0,237.9512261702615,none,237.9512261702615,311.76914536239855,200.0,237.9512261702615,397.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00085,vertical leakage,dense5,2.0,5.0,805.0,0.0,0.0,34.08345157896336,none,100.0,139.4274004634673,200.0,34.08345157896336,397.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00086,vertical leakage,far4,5.0,7.5,605.0,0.0,0.0,72.757763172289,none,100.0,220.4540768504864,200.0,72.757763172289,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00087,vertical leakage,mixed4,1.0,10.0,605.0,0.0,0.0,96.52504482022636,none,100.0,98.59006035092999,200.0,96.52504482022636,292.5,1.0,1.0000000000000044,sensitivity comparison only
