scenario_class,pathway,n_scenarios,cov_M_T,cov_M_S,bias_factor_T,bias_factor_S,tail_relative_range_cov_M_T,tail_relative_range_cov_M_S,converged_flag
heterogeneous K,Lagging Darcy with leakage,10,0.23859990108350365,0.2654081174645245,0.9747738585007647,1.156483543686819,0.05565936884885841,0.09969493241472487,True
heterogeneous leakage,Theis confined,2,0.7832882526502721,0.6139320206823182,2.5151885966194,1.7035582775139222,,,
heterogeneous leakage,Theis confined,3,0.6969629270690912,0.5259112093163346,2.0661764407782064,1.4930551197877793,,,
heterogeneous leakage,Theis confined,4,0.8991918474947008,0.7114325816550562,2.583603500389811,1.8654779761238913,,,
heterogeneous leakage,Theis confined,5,0.8306158892217962,0.6491367667271899,2.3981192966676814,1.847520211145957,,,
heterogeneous leakage,Theis confined,6,0.7838484974446586,0.6237530045986144,2.1860215275837303,1.700572023451623,,,
heterogeneous leakage,Theis confined,7,0.7910492459361494,0.6403292060275758,2.411185108482317,1.6173737000146318,,,
heterogeneous leakage,Theis confined,8,0.7953892800494989,0.8092181168316014,2.468335926210478,1.7623065338561477,,,
heterogeneous leakage,Theis confined,9,0.7555937831418439,0.8098527279411044,2.3601138430412627,1.620920728131135,,,
heterogeneous leakage,Theis confined,10,0.7340830486660426,0.7647209522882433,2.25075399346148,1.5788820149195046,0.08351402677784281,0.05901731280909083,True
heterogeneous leakage,Hantush-Jacob leaky,2,0.2821123297453395,0.2801112117618412,1.7006724281809174,1.3112394053479834,,,
heterogeneous leakage,Hantush-Jacob leaky,3,0.2638403969709992,0.23932782286337997,1.5874134296371252,1.2523318486103743,,,
heterogeneous leakage,Hantush-Jacob leaky,4,0.3774042942588398,0.36733340115941415,1.7512541131709825,1.4376531431205943,,,
heterogeneous leakage,Hantush-Jacob leaky,5,0.37164785212190726,0.3526373130035731,1.6832567037466766,1.4545663447917452,,,
heterogeneous leakage,Hantush-Jacob leaky,6,0.34820939519469246,0.3399514702041972,1.6249978833337901,1.39232220597447,,,
heterogeneous leakage,Hantush-Jacob leaky,7,0.41057596380805766,0.3822670563109359,1.7894980449754003,1.324914360653188,,,
heterogeneous leakage,Hantush-Jacob leaky,8,0.4774245008208763,0.6086098037552566,1.8645871372432552,1.458468764862654,,,
heterogeneous leakage,Hantush-Jacob leaky,9,0.45012837657139215,0.6058242019819434,1.8349081875871827,1.3689096367563827,,,
heterogeneous leakage,Hantush-Jacob leaky,10,0.4398453261713521,0.5722467724796799,1.7876738459009587,1.3529001464541068,0.0854372489907608,0.06354431868266752,True
heterogeneous leakage,Lagging Darcy no-leakage,2,1.8862611482297285,0.5427498479266224,3.6427005945180597,1.060921303812114,,,
heterogeneous leakage,Lagging Darcy no-leakage,3,1.5633589741189375,0.4271214541124653,2.5724283232937326,1.0925794231941843,,,
heterogeneous leakage,Lagging Darcy no-leakage,4,2.142904988395439,0.41392212132957246,3.7420648589553984,1.1826955090680937,,,
heterogeneous leakage,Lagging Darcy no-leakage,5,1.9149644729838085,0.4135061456164772,3.552100541870997,1.2041502453644666,,,
heterogeneous leakage,Lagging Darcy no-leakage,6,1.783107734872207,0.3755493681473882,2.9874815029431616,1.1941378645827465,,,
heterogeneous leakage,Lagging Darcy no-leakage,7,1.7047574632109428,0.38038051699566683,3.2569378403685714,1.1474750177256876,,,
heterogeneous leakage,Lagging Darcy no-leakage,8,1.584647584250676,0.6913492751665462,3.20172571133107,1.3060785122973573,,,
heterogeneous leakage,Lagging Darcy no-leakage,9,1.5059768131881945,0.6608826226422494,2.9188949766795504,1.251560279830593,,,
heterogeneous leakage,Lagging Darcy no-leakage,10,1.4347711679849384,0.6212518008396967,2.712643158752253,1.2525611280014834,0.10446015337500208,0.11283262959093938,True
heterogeneous leakage,Lagging Darcy with leakage,2,0.2383378006901946,0.21891756747081653,1.2435052955453483,1.1534922007500088,,,
heterogeneous leakage,Lagging Darcy with leakage,3,0.2016334408756169,0.1770846329409131,1.204253588172517,1.1304922390436754,,,
heterogeneous leakage,Lagging Darcy with leakage,4,0.28340064783200963,0.2799116504135129,1.300546382158157,1.2673649494667216,,,
heterogeneous leakage,Lagging Darcy with leakage,5,0.292992810311045,0.26797797438230336,1.2274230387498493,1.2635012897861329,,,
heterogeneous leakage,Lagging Darcy with leakage,6,0.269127543140881,0.2514854785129672,1.2068641525939168,1.229867697938679,,,
heterogeneous leakage,Lagging Darcy with leakage,7,0.33262907788890217,0.3200000379702196,1.312137925655349,1.171077240235928,,,
heterogeneous leakage,Lagging Darcy with leakage,8,0.4242647707908344,0.33371401350618474,1.2767868822993704,1.2174859211109246,,,
heterogeneous leakage,Lagging Darcy with leakage,9,0.40050064946620945,0.3326137791015193,1.2892092119805991,1.1757811155095148,,,
